45,TCP,Thu Dec  8 14:15:41 2016, 1481181341.522247,49.50.7.43, 10.100.115.61, 54, 20 bytes,52,0,36550,16384,80,1142,-A--S-,3525903165,883023771,14600,0,-,-,-,-,37262,-----http------, j.8...{......E..4..@.6...12.+ads=.P.v4....).=..9................a,
48,TCP,Thu Dec  8 14:15:41 2016, 1481181341.534938,49.50.7.43, 10.100.115.61, 54, 20 bytes,40,8686,27876,16384,80,1142,-A----,3525903283,883023772,15,0,-,-,-,-,2791,-----http------, j.8...{......E..(!.@.6.l.12.+ads=.P.v4....)..P...a.........,
49,TCP,Thu Dec  8 14:15:41 2016, 1481181341.535270,49.50.7.43, 10.100.115.61, 54, 20 bytes,268,8687,27647,16384,80,1142,-AP---,3525903283,883023772,15,0,-,-,-,-,8279,-----http------, 
53,TCP,Thu Dec  8 14:15:41 2016, 1481181341.549447,49.50.7.43, 10.100.115.61, 54, 20 bytes,40,8689,27873,16384,80,1142,-A---F,3525903284,883024004,15,0,-,-,-,-,2557,-----http------, j.8...{......E..(!.@.6.l.12.+ads=.P.v4....)..P.............,
55,TCP,Thu Dec  8 14:15:41 2016, 1481181341.550952,49.50.7.44, 10.100.115.61, 54, 20 bytes,52,0,36550,16384,80,1143,-A--S-,2693023887,2288004283,14600,0,-,-,-,-,56577,-----http------, j.8...{......E..4..@.6...12.+ads=.P.w.`,...H...9................a,
58,TCP,Thu Dec  8 14:15:41 2016, 1481181341.564635,888.50.7.111, 10.100.115.61, 54, 20 bytes,40,7166,29396,16384,80,1143,-A----,2693024024,2288004284,16,0,-,-,-,-,22086,-----http------, j.8...{......E..(..@.6.r.12.+ads=.P.w.`,...I.P...VF........,
